Producto_JS,Archivo_JS,Match_Excel,Marca,PrecioUSD,Similaridad
Mouse Gaming Logitech,import-productos-completos,Mouse optico -wireless -1000dpi -red -Logitech M280 (910-004286),Logitech,10.48,0.376
Mouse Gaming Logitech,import-productos-final,Mouse optico -wireless -1000dpi -red -Logitech M185 (910-003635),Logitech,8.21,0.376
Mouse Gaming Logitech,import-productos-final,Mouse optico -wireless -1000dpi -red -Logitech M280 (910-004286),Logitech,10.48,0.376
Nexxt Bombilla LED Inteligente WiFi 220V A19,add-more-products,Mouse optico -usb -1000dpi -c/led interior RGB -white -Genius DX-Mini (31010025401),Genius,2.82,0.394
Nexxt Bombilla LED Inteligente WiFi 220V A19,add-more-products,Mouse optico -usb -1000dpi -c/led interior RGB -blue -Genius DX-Mini (31010025402),Genius,2.82,0.381
Nexxt Bombilla LED Inteligente WiFi 220V A19,add-more-products,Mouse optico -usb -1000dpi -c/led interior RGB -pink -Genius DX-Mini (31010025403),Genius,2.82,0.381
Nexxt Cámara de Seguridad Interior PTZ 2K,add-more-products,Rollo cable UTP Cat6 -interior -305mts -Kelyx (0409026),Kelyx,71.63,0.417
Nexxt Cámara de Seguridad Interior PTZ 2K,add-more-products,Rollo cable UTP Cat5e -interior -305mts -Kelyx (0402757),Kelyx,53.08,0.392
Nexxt Cámara de Seguridad Interior PTZ 2K,add-more-products,Rollo cable UTP Cat5e -interior -305mts -CCA -Netmak (NM-R01),Netmak,47.08,0.373
Nexxt Cámara de Seguridad Interior Turret 2K 5MP,add-more-products,Rollo cable UTP Cat5e -interior -305mts -CCA -Netmak (NM-R01),Netmak,47.08,0.404
Nexxt Cámara de Seguridad Interior Turret 2K 5MP,add-more-products,Raqueta mata moscas/mosquitos/insectos -electrica 3500V -malla de seguridad triple -bat. recargable -Netmak (NM-RACKET),Netmak,6.7,0.383
Nexxt Cámara de Seguridad Interior Turret 2K 5MP,add-more-products,Caja de seguridad portatil -cerradura c/combinacion -black -Gadnic Cja15 (CAJA0015),Gadnic,27.35,0.382
Nisuta Kit de Herramientas 60 Piezas,add-more-products,Kit de herramientas de jardineria -11 piezas -c/estuche -green -Gadnic (JD1000),Gadnic,18.8,0.47
Nisuta Kit de Herramientas 60 Piezas,add-more-products,Kit de herramientas manuales y de precision -159 piezas -c/caja -black -Nappo (NHK-053 628499),Nappo,25.08,0.415
Nisuta Kit de Herramientas 60 Piezas,add-more-products,Kit de herramientas manuales y de precision -189 piezas -c/caja -dark grey -Nappo (NHK-052 628498),Nappo,32.68,0.403
Notebook HP Pavilion,import-productos-completos,"Base p/notebook 10"" a 15.6"" -6 niveles de ajuste -aluminio -Gadnic (SOP00009)",Gadnic,13.32,0.33
Notebook HP Pavilion,import-productos-final,"Base p/notebook 10"" a 15.6"" -6 niveles de ajuste -aluminio -Gadnic (SOP00009)",Gadnic,13.32,0.33
Notebook HP Pavilion,import-productos-completos,Cargador universal p/notebooks -90w -manual -Netmak (NM-1187),Netmak,20.57,0.321
Notebook HP Pavilion,import-productos-final,Cargador universal p/notebooks -90w -manual -Netmak (NM-1187),Netmak,20.57,0.321
